"('date',_'')","('close',_'005930.ks')","('high',_'005930.ks')","('low',_'005930.ks')","('open',_'005930.ks')","('volume',_'005930.ks')"
2000-12-15,2484.445556640625,2591.2268842899357,2477.3268014640043,2576.9893739366944,52960000
2000-12-18,2534.276123046875,2555.632382510753,2484.4448509644926,2491.5636041191187,34350000
2000-12-19,2512.920166015625,2541.395182061128,2498.682657992874,2534.276428049752,25445000
2000-12-20,2377.66357421875,2455.969859597212,2363.426067786302,2434.6135999485405,53675000
2000-12-21,2306.475830078125,2349.188345449942,2185.457036524643,2221.050799334491,76625000
2000-12-22,2235.289306640625,2349.189398698746,2228.1705508869927,2306.4768641769506,63760000
2000-12-25,2235.289306640625,2235.289306640625,2235.289306640625,2235.289306640625,0
2000-12-26,2249.526123046875,2306.4761514784414,2249.526123046875,2299.3573979244957,60430000
2000-12-27,2249.526123046875,2249.526123046875,2249.526123046875,2249.526123046875,0
2000-12-28,2249.526123046875,2249.526123046875,2249.526123046875,2249.526123046875,0
2000-12-29,2249.526123046875,2249.526123046875,2249.526123046875,2249.526123046875,0
2001-01-01,2249.526123046875,2249.526123046875,2249.526123046875,2249.526123046875,0
2001-01-02,2384.782470703125,2406.138731634795,2235.2886441814367,2249.5261514692165,39455000
2001-01-03,2399.020263671875,2434.614036129915,2292.2389462977562,2299.357700789364,37855000
2001-01-04,2690.888671875,2754.957449776786,2605.4636346726193,2698.0074249751983,119910000
2001-01-05,2776.313720703125,2790.5512269631413,2633.938658102965,2676.651176883013,78135000
2001-01-08,2762.076904296875,2783.43316902082,2690.889355217059,2719.3643748489853,42295000
2001-01-09,2733.6005859375,2747.838088989258,2641.056816101074,2726.481834411621,46280000
2001-01-10,2641.0576171875,2712.2451540389147,2633.9388635023583,2690.88889298349,41235000
2001-01-11,2591.226806640625,2698.0081310901014,2591.226806640625,2698.0081310901014,31410000
2001-01-12,2733.6005859375,2769.1943435668945,2683.7693252563477,2705.1255798339844,52900000
2001-01-15,2790.551513671875,2861.7390522859537,2733.6014827806125,2747.8389905034282,51460000
2001-01-16,2947.1640625,2989.8765851449275,2740.720203049517,2819.0264945652175,52065000
2001-01-17,3004.11474609375,3018.352256738744,2890.2146609337974,2890.2146609337974,52570000
2001-01-18,3132.25146484375,3224.7952581232244,3018.3514115767043,3018.3514115767043,57685000
2001-01-19,3274.6259765625,3345.8134977921195,3217.6759595788044,3345.8134977921195,54245000
2001-01-22,3239.03271484375,3274.626480940934,3182.0826890882554,3274.626480940934,42250000
2001-01-23,3239.03271484375,3239.03271484375,3239.03271484375,3239.03271484375,0
2001-01-24,3239.03271484375,3239.03271484375,3239.03271484375,3239.03271484375,0
2001-01-25,3239.03271484375,3239.03271484375,3239.03271484375,3239.03271484375,0
2001-01-26,2833.264404296875,3189.202143530151,2826.1456495122097,3167.845879176154,91025000
2001-01-29,2861.7392578125,2918.6892927938434,2819.0267315764927,2847.501749067164,47245000
2001-01-30,2925.80810546875,2968.520632555885,2897.33308741066,2918.6893509542274,39350000
2001-01-31,3132.25146484375,3132.25146484375,2911.570111638849,2911.570111638849,53045000
2001-02-01,3039.708251953125,3146.489572279347,2982.7582144458065,3039.708251953125,39730000
2001-02-02,3053.946044921875,3125.133598416557,3004.1147574755973,3053.946044921875,27330000
2001-02-05,2868.857666015625,2989.876475748294,2840.3826519608792,2968.5202152072347,47135000
2001-02-06,2854.620361328125,2861.7391153463996,2783.4328211453785,2833.264099273301,31545000
2001-02-07,2776.313720703125,2840.382498873197,2776.313720703125,2819.0262394831734,23130000
2001-02-08,2890.21435546875,2890.21435546875,2769.195527776709,2790.551791487069,34685000
2001-02-09,2897.33349609375,2918.6897626497234,2833.2646964258292,2875.977229537776,25230000
2001-02-12,2826.144287109375,2883.094297932738,2733.6005195214107,2733.6005195214107,36110000
2001-02-13,2833.264404296875,2918.6894617128614,2826.1456495122097,2875.976933004868,22295000
2001-02-14,2833.264404296875,2875.976933004868,2776.314366019551,2790.551875588882,19710000
2001-02-15,2940.045654296875,2996.9956911839813,2918.68939046421,2989.876936573093,34930000
2001-02-16,3025.470458984375,3068.182983111213,2940.0454107306987,2954.282918772978,46375000
2001-02-19,2982.7578125,2996.995319958234,2918.6890289379476,2975.6390587708834,22880000
2001-02-20,3018.351318359375,3046.8263307967277,2975.638799703346,2982.757552812684,18175000
2001-02-21,2961.40185546875,2989.876873309796,2947.164346548227,2961.40185546875,19500000
2001-02-22,2854.620361328125,2918.6891474925965,2804.7890832002026,2904.4516394560474,43605000
2001-02-23,2733.6005859375,2826.144355773926,2726.481834411621,2790.5505981445312,76855000
